name;id;open;farmland;jungle;beach;desert;rough_desert;hills;mountains;swamp;rice;city;village;japanese_village;euro_village;desert_village;town;asian_town;desert_town;airfield;forest;pine_forest;scorched;escarpment;lake;water;deep_water;cliffs;port;road_factor;road_factor;traits
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Foot;0;2;2;4;3;3;4;3;4;4;4;2;2;2;2;2;2;2;2;2;3;4;3;;;;;;;0, 0.6;1, 0.5;humanoid
Ski;13;2;2;4;3;3;4;3;3;4;4;2;2;2;2;2;2;2;2;2;2;3;2;;;;;;;0, 0.6;1, 0.5;humanoid
Tow;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
Platform;12;1;1;1;1;1;/;1;/;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
Mountain;14;1;1;1;1;1;10;1;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
Wheel;2;4;4;10;4;4;/;8;/;12;12;2;2;2;2;2;2;2;2;2;8;/;3;;;;;;;;;
Halftrack;15;3;3;10;3;3;/;6;/;10;10;2;2;2;2;2;2;2;2;2;8;/;3;;;;;;;;;
Track;3;2;2;8;2;2;/;4;/;6;6;2;2;2;2;2;2;2;2;2;6;/;2;;;;;;;0, 0.6;1, 0.5;
Track_Light;4;2;2;6;2;2;/;4;/;4;4;2;2;2;2;2;2;2;2;2;2;/;2;;;;;;;0, 0.6;1, 0.6;